iter	Passed	Remaining
0	1	99
1	1	87
2	2	81
3	4	104
4	5	98
5	6	96
6	7	95
7	7	91
8	8	87
9	9	84
10	10	81
11	10	80
12	11	78
13	12	78
14	13	78
15	14	77
16	15	76
17	16	76
18	18	80
19	20	80
20	21	79
21	21	77
22	22	76
23	23	75
24	24	74
25	25	73
26	26	72
27	27	70
28	28	69
29	29	68
30	30	68
31	31	67
32	33	67
33	34	66
34	34	64
35	35	63
36	36	61
37	36	60
38	37	58
39	38	57
40	39	56
41	40	55
42	41	54
43	41	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	51	42
55	52	41
56	53	40
57	54	39
58	54	38
59	55	37
60	56	36
61	57	34
62	57	33
63	58	32
64	59	31
65	59	30
66	60	29
67	61	28
68	62	28
69	63	27
70	63	26
71	64	25
72	65	24
73	65	23
74	66	22
75	67	21
76	67	20
77	68	19
78	68	18
79	69	17
80	69	16
81	70	15
82	70	14
83	71	13
84	72	12
85	72	11
86	73	10
87	74	10
88	74	9
89	75	8
90	76	7
91	77	6
92	77	5
93	78	5
94	79	4
95	79	3
96	80	2
97	80	1
98	81	0
99	82	0
